	Total																										Menos de 101 																										De 101 a 500 																										De 501 a 1.000																										De 1.001 a 2.000 																										De 2.001 a 5.000 																										De 5.001 a 10.000 																										De 10.001 a 20.000 																										De 20.001 a 50.000 																										De 50.001 a 100.000 																										De 100.001 a 500.000 																										Más de 500.000 																										
	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
29 Málaga	1.695.651	1.685.920	1.661.785	1.641.121	1.630.615	1.629.298	1.628.973	1.621.968	1.652.999	1.641.098	1.625.827	1.609.557	1.593.068	1.563.261	1.517.523	1.491.287	1.453.409	1.397.925	1.374.890	1.330.010	1.302.240	1.278.851	1.258.084	1.240.580	""	1.249.290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	5.024	4.989	5.496	5.461	5.517	5.175	4.885	4.877	4.629	3.218	3.310	3.617	3.076	3.596	4.602	4.300	4.245	4.248	4.700	4.551	4.649	4.717	4.186	4.258	""	3.881	9.419	9.394	8.845	8.865	9.001	8.652	9.279	9.365	9.294	10.030	10.275	9.559	10.080	9.659	8.505	8.249	9.169	9.016	8.412	8.382	7.412	7.434	7.928	7.946	""	7.660	25.887	25.758	25.894	25.905	24.005	25.317	24.551	26.682	26.553	28.257	28.512	28.536	24.649	24.662	24.488	24.076	24.676	25.949	25.345	24.993	29.752	31.733	35.501	29.584	""	26.747	89.938	88.999	88.380	88.265	95.240	95.523	96.506	95.507	95.662	96.574	96.836	97.874	106.239	109.824	106.867	104.369	100.114	105.475	103.751	102.166	97.896	95.813	96.810	102.990	""	107.458	63.863	63.157	62.772	62.086	56.104	56.188	55.883	55.528	61.499	61.145	60.235	54.207	48.561	43.018	41.775	40.868	49.461	36.897	35.356	33.814	33.474	33.206	27.931	27.836	""	27.700	49.122	47.494	45.747	44.393	42.884	42.789	42.707	43.008	46.456	46.064	45.168	44.945	44.098	43.089	60.037	57.000	63.165	98.391	95.560	92.161	90.161	88.792	87.710	105.714	""	123.001	264.554	260.899	256.842	253.794	252.309	250.042	250.151	249.366	252.124	249.333	246.843	247.732	244.084	238.607	211.709	205.948	225.099	176.696	218.259	301.659	287.346	324.525	311.525	281.980	""	251.814	462.481	459.137	449.769	439.863	435.381	435.859	436.344	432.043	446.285	438.571	427.956	418.258	409.353	393.810	371.868	360.327	294.860	276.169	220.168	110.727	106.496	55.156	54.796	152.193	""	151.894	147.958	147.633	143.386	141.463	141.172	140.744	139.537	138.679	142.018	140.473	138.662	136.322	134.623	130.549	126.422	125.519	124.333	117.353	116.234	115.871	110.847	105.910	101.144	0	""	0	577.405	578.460	574.654	571.026	569.002	569.009	569.130	566.913	568.479	567.433	568.030	568.507	568.305	566.447	561.250	560.631	558.287	547.731	547.105	535.686	534.207	531.565	530.553	528.079	""	549.135	
30 Murcia	1.518.486	1.511.251	1.493.898	1.478.509	1.470.273	1.464.847	1.467.288	1.466.818	1.472.049	1.474.449	1.470.069	1.461.979	1.446.520	1.426.109	1.392.117	1.370.306	1.335.792	1.294.694	1.269.230	1.226.993	1.190.378	1.149.328	1.131.128	1.115.068	""	1.097.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	495	0	500	500	494	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	866	1.359	874	879	1.836	1.854	2.394	2.416	1.466	1.488	1.529	1.503	1.523	1.560	1.617	1.514	1.539	1.590	1.608	1.573	1.565	2.549	1.545	1.565	""	1.599	3.736	3.659	3.659	3.684	2.674	2.710	2.743	2.781	3.792	3.881	3.947	3.844	3.954	3.982	3.990	5.827	5.802	5.759	5.527	5.538	5.527	4.519	5.515	5.415	""	5.410	9.197	8.986	8.785	8.645	8.545	8.496	8.580	13.381	13.365	13.558	13.379	13.182	13.048	12.885	12.466	10.088	9.843	9.647	9.521	9.465	9.409	9.352	9.279	9.215	""	9.151	43.034	42.802	42.589	42.304	42.483	52.499	52.451	47.386	47.370	37.795	37.840	47.482	46.971	56.084	54.476	63.064	71.374	69.491	68.121	76.090	73.570	71.565	80.177	78.725	""	87.361	186.783	185.114	183.377	201.357	200.651	190.294	191.003	191.349	192.690	201.867	200.170	188.387	206.086	193.101	206.408	191.518	195.933	189.136	184.905	169.520	165.027	197.210	182.609	179.208	""	165.614	427.925	425.210	419.760	395.972	393.527	391.391	392.882	392.808	396.311	397.604	396.439	393.562	370.101	364.219	334.042	325.323	295.720	285.758	281.143	319.435	307.217	255.028	250.101	246.342	""	242.827	169.736	168.610	166.294	164.043	162.643	161.344	161.045	160.534	161.168	160.247	159.644	158.509	155.971	153.331	148.971	147.367	141.826	136.833	133.056	79.481	77.075	72.000	70.689	69.930	""	69.045	676.714	675.511	668.060	661.125	657.420	655.762	656.190	656.163	655.887	658.009	657.121	655.510	648.866	640.947	630.147	625.605	613.755	596.480	585.349	565.891	550.988	537.105	531.213	524.668	""	516.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
31 Navarra	661.537	661.197	654.214	647.554	643.234	640.647	640.476	640.790	644.477	644.566	642.051	636.924	630.578	620.377	605.876	601.874	593.472	584.734	578.210	569.628	556.263	543.757	538.009	530.819	""	520.574	2.834	2.921	2.485	2.656	2.542	2.421	2.674	2.610	2.569	2.305	2.161	2.265	2.269	2.099	2.043	2.266	2.160	2.188	2.321	2.385	2.271	2.456	2.103	2.310	""	2.360	25.233	24.921	25.952	25.917	26.312	26.846	26.307	26.699	26.138	26.149	26.938	26.593	27.412	28.197	28.108	28.449	28.724	29.149	29.943	29.478	29.507	29.324	29.950	29.652	""	30.022	26.816	26.831	26.320	26.270	26.226	25.440	26.028	24.311	26.714	26.389	25.967	27.068	25.932	25.165	24.874	24.201	25.004	24.197	24.095	24.537	24.417	26.213	27.340	26.049	""	26.326	30.874	30.566	32.305	32.241	30.117	33.164	31.241	33.375	34.765	35.853	37.739	36.435	36.029	35.696	37.047	36.510	38.678	41.786	40.432	41.830	44.687	42.062	38.894	41.349	""	41.498	124.539	124.283	121.241	120.328	116.774	114.303	116.374	116.879	115.916	116.300	114.307	118.485	116.410	113.503	107.995	115.937	114.485	113.167	116.176	111.963	104.720	102.131	108.066	102.951	""	102.370	67.017	66.825	65.956	64.999	79.456	88.870	88.098	87.993	87.717	86.640	84.834	78.767	77.707	84.376	79.425	76.727	70.217	63.379	56.774	64.306	61.914	59.671	53.485	71.434	""	67.991	122.579	102.279	100.717	99.671	88.830	78.412	98.038	97.237	97.214	96.524	95.192	92.850	89.501	77.963	76.886	66.812	66.236	65.273	64.764	53.393	52.012	50.544	49.545	38.554	""	56.871	58.564	78.627	77.585	76.406	75.839	75.541	55.863	55.520	56.489	56.802	56.981	56.973	56.827	56.103	54.604	55.203	54.640	53.730	52.768	52.372	50.490	48.690	48.143	47.370	""	26.857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	203.081	203.944	201.653	199.066	197.138	195.650	195.853	196.166	196.955	197.604	197.932	197.488	198.491	197.275	194.894	195.769	193.328	191.865	190.937	189.364	186.245	182.666	180.483	171.150	""	166.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
32 Ourense	305.223	306.650	307.651	309.293	311.680	314.853	318.391	322.293	326.724	330.257	333.257	335.219	335.642	336.099	336.926	338.671	339.555	340.258	342.213	343.768	344.623	345.241	345.620	344.170	""	346.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	2.115	2.082	1.598	1.657	1.716	1.282	829	855	871	915	428	447	479	0	0	0	0	0	0	0	0	0	0	0	""	0	17.039	17.111	17.932	17.248	16.624	16.580	15.587	14.990	14.382	11.766	10.656	12.901	9.161	8.898	7.139	7.088	7.212	7.349	7.514	7.795	7.982	7.124	7.162	6.240	""	5.517	57.079	59.398	60.328	60.212	62.760	63.254	58.878	59.026	57.690	62.643	62.196	59.036	65.982	68.383	67.225	62.209	59.177	61.890	60.728	54.086	56.930	54.922	55.407	53.006	""	53.547	33.862	31.808	32.122	34.491	34.966	37.571	46.417	54.060	59.329	60.416	65.480	68.063	66.727	67.273	71.963	78.734	83.586	82.331	80.061	89.547	88.584	98.794	104.101	103.461	""	107.678	38.571	38.283	38.256	38.010	37.863	27.926	28.052	23.212	23.250	23.493	33.265	32.951	32.672	32.195	31.619	41.043	40.351	39.759	44.194	43.826	43.302	37.520	32.106	36.730	""	36.866	51.961	52.325	52.182	52.170	52.115	62.347	62.397	63.245	63.660	63.427	53.230	53.148	52.879	52.293	51.794	41.460	40.871	40.329	40.241	39.503	38.774	38.234	37.724	36.768	""	36.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	104.596	105.643	105.233	105.505	105.636	105.893	106.231	106.905	107.542	107.597	108.002	108.673	107.742	107.057	107.186	108.137	108.358	108.600	109.475	109.011	109.051	108.647	109.120	107.965	""	107.060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
34 Palencia	159.123	160.321	160.980	162.035	163.390	164.644	166.035	167.609	168.955	170.713	171.668	172.510	173.306	173.454	173.281	173.153	173.471	173.990	175.047	176.125	177.345	178.316	179.465	179.623	""	180.571	4.268	4.442	4.284	4.133	4.330	4.206	4.081	4.175	3.883	3.994	3.598	3.752	3.908	3.579	3.364	3.344	3.548	3.541	3.545	3.677	3.598	3.283	2.988	3.004	""	2.737	18.532	18.436	18.783	19.188	18.983	19.019	19.591	19.696	20.148	20.776	20.617	20.004	20.079	20.767	20.925	21.130	21.601	21.586	22.549	22.633	23.282	23.661	24.468	24.299	""	24.980	8.187	8.191	9.208	9.347	8.980	8.602	8.689	7.840	6.978	7.055	8.134	8.700	8.688	9.812	11.172	11.143	9.169	9.737	10.197	10.832	10.948	11.541	11.693	11.304	""	12.058	13.343	13.361	12.431	10.553	11.628	12.763	12.970	14.206	15.427	15.601	15.575	15.438	15.255	14.063	13.016	13.055	15.226	15.392	14.665	15.035	15.384	15.686	16.038	17.268	""	15.764	12.337	12.256	12.294	14.324	14.470	14.645	14.727	14.802	14.891	15.033	15.061	15.263	15.469	15.514	15.556	15.602	15.853	15.869	15.915	16.151	21.102	21.056	21.191	21.097	""	23.220	25.366	25.491	25.568	25.861	26.107	26.272	26.382	26.712	26.979	27.056	27.131	27.184	27.256	27.093	26.962	26.616	26.635	26.658	26.798	26.996	22.195	22.476	22.755	22.906	""	22.981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	77.090	78.144	78.412	78.629	78.892	79.137	79.595	80.178	80.649	81.198	81.552	82.169	82.651	82.626	82.286	82.263	81.439	81.207	81.378	80.801	80.836	80.613	80.332	79.745	""	78.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
35 Palmas, Las	1.128.539	1.131.065	1.120.406	1.109.175	1.100.480	1.097.800	1.098.406	1.100.027	1.103.850	1.100.813	1.096.980	1.090.605	1.083.502	1.070.032	1.042.131	1.024.186	1.011.928	987.128	979.606	951.037	924.558	897.595	872.669	849.863	""	834.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	762	773	758	731	710	714	713	733	811	805	839	823	680	715	742	705	738	749	721	665	670	677	636	619	""	592	2.911	2.932	2.978	3.011	3.046	3.103	1.177	3.170	1.198	1.242	1.261	1.230	1.257	1.301	1.300	1.306	1.386	1.469	1.357	1.394	1.490	1.572	1.368	1.247	""	1.250	3.754	3.727	3.749	8.753	8.668	8.628	10.612	8.622	10.714	6.022	6.164	6.068	6.132	6.228	6.258	6.336	11.290	11.176	11.137	15.947	15.423	19.966	23.206	21.825	""	20.588	57.396	56.934	56.539	51.422	51.282	51.364	51.686	52.107	52.356	57.918	57.878	57.735	57.688	66.885	65.789	73.637	66.942	64.605	64.490	58.823	56.776	59.712	63.173	69.264	""	83.266	109.169	109.520	107.721	125.699	164.425	123.164	123.280	143.864	105.230	104.212	103.601	122.545	141.877	129.107	161.280	163.876	159.123	151.339	149.021	145.347	137.700	119.570	121.372	124.960	""	98.959	281.967	280.521	276.330	251.816	208.985	248.121	248.153	227.371	267.444	267.489	264.419	241.707	219.081	213.847	215.991	191.331	187.086	180.522	177.869	267.052	258.229	249.470	222.120	195.574	""	189.478	191.136	192.644	189.759	186.802	183.709	181.544	180.941	179.801	180.877	179.529	178.100	176.289	174.925	270.826	213.568	209.939	206.735	200.315	197.411	91.160	89.493	88.110	86.037	83.733	""	84.389	481.444	484.014	482.572	480.941	479.655	481.162	481.844	484.359	485.220	483.596	484.718	484.208	481.862	381.123	377.203	377.056	378.628	376.953	377.600	370.649	364.777	358.518	354.757	352.641	""	355.563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
36 Pontevedra	944.275	945.408	942.665	941.772	942.731	944.346	947.374	950.919	955.050	958.428	963.511	962.472	959.764	953.400	947.639	943.117	938.311	930.931	927.555	919.934	916.176	912.621	908.803	906.298	""	915.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	675	637	644	618	627	614	652	682	656	690	730	734	726	736	755	740	719	704	693	658	659	651	634	635	""	636	6.381	6.443	4.515	4.556	4.740	6.530	6.727	6.815	6.952	5.150	1.744	3.747	3.803	3.855	1.923	1.947	1.980	0	0	0	0	0	0	0	""	0	60.954	60.984	63.515	63.962	64.649	69.847	65.900	61.570	62.502	75.643	66.776	65.166	70.527	75.750	77.915	73.098	73.259	75.508	76.239	77.814	83.639	84.678	75.746	66.075	""	58.560	95.404	95.244	104.747	94.966	95.437	89.422	94.743	100.423	91.122	81.416	98.196	98.135	92.704	96.857	95.805	100.264	99.669	98.427	98.444	98.252	103.562	103.897	114.220	124.756	""	132.250	202.603	200.920	209.742	220.046	219.955	220.361	219.912	219.499	230.252	230.730	230.083	229.322	227.496	215.203	213.064	210.992	208.606	206.420	205.011	222.950	210.532	208.307	206.181	204.321	""	209.360	201.307	201.228	181.109	181.180	181.666	182.206	182.803	183.987	184.153	184.760	186.341	186.263	185.600	184.547	183.203	182.725	180.981	179.098	176.609	155.138	154.638	154.350	154.213	153.530	""	153.237	83.114	83.260	83.029	82.802	82.671	82.549	82.539	82.946	82.934	82.684	82.400	81.981	81.576	80.749	80.202	80.096	79.372	78.715	77.993	76.798	75.864	75.212	74.139	73.871	""	74.287	293.837	296.692	295.364	293.642	292.986	292.817	294.098	294.997	296.479	297.355	297.241	297.124	297.332	295.703	294.772	293.255	293.725	292.059	292.566	288.324	287.282	285.526	283.670	283.110	""	286.774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
26 Rioja, La	319.796	319.914	316.798	315.675	315.381	315.794	317.053	319.002	322.027	323.609	322.955	322.415	321.702	317.501	308.968	306.377	301.084	293.553	287.390	281.614	270.400	264.178	265.178	263.644	""	264.941	3.311	3.093	3.131	2.978	2.945	2.714	2.903	2.877	2.885	2.961	2.577	2.647	2.793	2.552	2.375	2.354	2.512	2.493	2.531	2.446	2.421	2.568	2.474	2.461	""	2.156	16.302	16.555	17.179	16.751	17.044	16.723	16.572	17.805	17.748	17.782	18.765	17.571	18.581	19.012	20.097	19.025	18.911	18.932	18.775	18.897	18.935	18.698	19.704	19.485	""	20.667	7.315	8.690	8.117	8.637	8.708	8.911	9.455	8.655	8.412	8.078	8.224	10.271	10.156	8.274	8.123	8.317	8.524	11.451	10.405	12.244	12.075	12.015	12.128	11.726	""	12.162	11.318	9.145	9.081	9.152	9.143	12.269	12.338	10.492	11.796	12.982	13.089	12.046	11.048	12.942	13.719	13.626	10.971	7.851	12.647	10.507	10.421	12.356	10.426	13.538	""	15.707	36.082	35.712	35.322	35.093	35.148	33.159	33.230	35.555	36.033	36.242	36.218	36.174	35.993	35.364	32.376	36.423	37.469	36.032	31.006	34.819	30.836	27.141	30.487	28.271	""	27.778	32.452	32.318	31.829	31.711	41.616	41.382	41.245	41.367	41.306	40.911	40.369	39.795	39.519	38.456	37.099	30.678	29.852	28.718	37.399	31.802	31.365	31.128	31.013	30.949	""	30.989	37.629	37.385	36.783	36.317	26.061	25.933	26.011	26.087	26.272	26.354	26.233	26.385	26.718	26.492	25.545	25.210	24.739	24.130	13.658	13.460	32.692	31.779	31.853	31.597	""	31.641	24.579	24.531	24.220	23.923	23.737	23.827	23.955	24.202	24.509	24.897	24.839	24.876	24.787	24.338	23.768	23.708	23.171	22.378	21.354	20.598	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	150.808	152.485	151.136	151.113	150.979	150.876	151.344	151.962	153.066	153.402	152.641	152.650	152.107	150.071	145.866	147.036	144.935	141.568	139.615	136.841	131.655	128.493	127.093	125.617	""	123.841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
37 Salamanca	327.338	329.245	330.119	331.473	333.603	335.985	339.395	342.459	345.548	350.564	352.986	353.619	354.608	353.404	351.326	353.110	352.414	350.984	348.271	347.120	350.209	349.733	351.128	349.550	""	353.020	5.844	5.782	5.558	5.640	5.214	5.246	5.177	4.698	4.919	4.505	3.809	3.317	3.703	3.565	3.322	2.980	3.198	2.646	2.569	2.323	2.246	2.219	2.084	2.192	""	2.189	49.384	50.832	52.604	53.596	54.109	54.414	54.653	55.217	55.275	55.651	56.636	57.481	56.652	56.777	57.744	57.486	58.086	59.862	59.720	59.995	60.317	62.167	62.437	63.665	""	62.610	18.559	17.488	17.190	17.472	18.768	19.952	20.212	20.882	23.454	23.913	26.247	26.168	28.672	28.697	29.427	32.468	30.166	28.687	27.804	30.676	33.073	32.302	30.774	29.510	""	33.114	16.120	16.147	16.257	18.467	18.525	20.406	21.368	21.454	19.529	23.739	22.511	22.272	20.693	21.053	17.514	17.535	17.727	18.906	21.085	20.455	21.679	21.522	26.555	26.024	""	26.302	17.120	16.846	16.646	14.510	14.400	12.347	12.372	12.330	12.348	10.307	10.306	10.275	10.098	9.970	21.405	18.083	28.752	26.956	25.704	24.663	21.732	20.858	18.491	17.891	""	17.332	38.062	37.775	37.748	37.604	37.456	37.433	37.429	37.665	37.680	37.427	36.933	36.326	35.454	34.202	23.045	22.219	11.787	11.492	11.509	11.491	11.363	11.317	11.374	21.093	""	20.685	38.980	39.550	39.888	40.206	40.695	41.238	41.746	42.171	42.815	42.974	43.072	43.318	43.717	43.400	42.948	42.585	42.367	42.020	41.974	41.511	41.276	40.792	40.693	30.718	""	31.563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	143.269	144.825	144.228	143.978	144.436	144.949	146.438	148.042	149.528	152.048	153.472	154.462	155.619	155.740	155.921	159.754	160.331	160.415	157.906	156.006	158.523	158.556	158.720	158.457	""	159.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
38 Santa Cruz de Tenerife	1.044.405	1.044.887	1.032.983	1.018.510	1.007.641	1.004.124	1.001.900	1.004.788	1.014.829	1.017.531	1.029.789	1.027.914	1.020.490	1.005.936	983.820	971.647	956.352	928.412	915.262	892.718	856.808	818.681	800.020	780.152	""	772.449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	12.081	11.901	11.730	11.532	13.386	13.540	11.723	11.838	8.220	10.277	8.449	8.436	8.681	10.621	8.861	8.854	10.723	10.543	10.357	8.069	7.868	7.705	7.562	9.069	""	7.461	59.717	59.565	59.001	63.493	61.520	61.607	63.957	54.417	49.567	48.732	36.735	36.716	41.653	44.585	40.218	34.942	37.404	37.135	36.696	43.005	41.829	49.988	49.293	45.900	""	49.522	81.736	81.419	80.853	74.904	73.966	73.545	73.653	84.551	95.357	96.036	112.188	111.655	106.275	100.356	104.682	108.756	103.278	101.358	120.832	113.875	120.684	106.074	104.292	110.508	""	110.907	70.464	70.712	70.170	108.840	106.926	106.349	105.087	104.346	106.740	107.705	107.049	106.077	104.836	102.759	119.333	116.890	134.761	150.386	106.357	101.850	106.027	136.217	132.258	114.089	""	136.648	319.421	319.175	315.052	319.888	315.566	313.215	310.898	311.458	315.647	316.874	314.571	310.788	307.353	301.381	273.149	267.796	241.442	212.835	228.809	220.928	232.907	177.022	165.620	160.711	""	142.355	134.413	134.010	131.362	79.448	78.930	79.172	79.928	79.890	80.987	77.718	75.339	79.377	78.614	75.903	72.328	69.100	65.550	59.395	57.445	52.572	0	0	0	0	""	0	366.573	368.105	364.815	360.405	357.347	356.696	356.654	358.288	358.311	360.189	375.458	374.865	373.078	370.331	365.249	365.309	363.194	356.760	354.766	352.419	347.493	341.675	340.995	339.875	""	325.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
40 Segovia	153.663	153.478	153.129	153.342	154.184	155.652	157.570	159.303	161.702	163.701	164.169	164.268	164.854	163.899	159.322	156.598	155.517	152.640	150.701	149.286	147.028	146.613	146.985	146.755	""	147.770	4.187	4.175	4.042	4.281	4.276	4.031	3.923	4.096	3.826	3.605	3.716	3.378	3.519	3.623	3.273	3.428	3.641	3.743	4.107	3.787	3.638	3.812	3.778	3.561	""	3.766	18.427	19.160	19.686	18.638	18.639	19.664	20.496	20.680	21.478	22.172	21.411	21.882	21.839	22.310	23.564	23.698	24.598	24.530	23.311	24.035	24.301	24.315	24.664	25.074	""	25.511	17.071	16.009	15.169	16.324	15.033	15.219	15.476	16.751	15.987	16.758	17.717	17.520	19.355	18.462	17.440	16.395	16.215	15.501	15.867	15.924	15.714	15.731	15.897	15.978	""	15.203	14.595	14.489	15.476	15.441	17.500	17.533	17.557	16.757	15.956	16.105	16.065	16.005	13.982	13.954	12.655	12.648	11.555	11.492	15.310	21.036	20.318	16.802	14.808	14.747	""	15.833	18.195	18.020	17.856	17.755	17.812	17.831	23.024	23.094	25.199	25.154	24.868	24.548	24.378	23.997	22.658	21.715	20.839	19.727	15.013	8.550	8.460	11.506	13.361	13.114	""	13.088	29.930	29.568	29.226	29.220	29.168	29.117	24.366	24.665	24.947	25.063	25.172	25.187	25.121	24.695	23.685	23.238	22.727	22.061	21.453	21.009	20.558	20.413	20.302	20.269	""	20.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	51.258	52.057	51.674	51.683	51.756	52.257	52.728	53.260	54.309	54.844	55.220	55.748	56.660	56.858	56.047	55.476	55.942	55.586	55.640	54.945	54.039	54.034	54.175	54.012	""	54.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
